Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Portugal LigaPro,2022/2023,2022-08-06 07:00:00,1,Farense,Torreense,2,1,3,"['23', '90+11']",['90+6'],1.8,3.13,3.51,2.1,1.91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Portugal LigaPro,2022/2023,2022-08-06 10:00:00,1,UD Oliveirense,CD Mafra,3,1,4,"['49', '88', '90+2']",['20'],3.05,3.17,2.15,2.13,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,Portugal LigaPro,2022/2023,2022-08-06 10:00:00,1,CD Nacional,CD Tondela,0,1,1,[],['39'],2.48,3.39,2.98,1.99,1.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Portugal LigaPro,2022/2023,2022-08-06 11:30:00,1,CD Trofense,Belenenses,3,2,5,"['65', '76', '90+5']","['35', '88']",2.5,3.2,2.45,2.1,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,Portugal LigaPro,2022/2023,2022-08-06 14:00:00,1,Benfica II,Academico Viseu,1,1,2,['90+5'],['60'],2.1,3.35,3.07,1.85,1.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Portugal LigaPro,2022/2023,2022-08-07 07:00:00,1,CD Feirense,Estrela Amadora,1,1,2,['90+3'],['62'],1.85,3.3,3.8,2.18,1.91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Portugal LigaPro,2022/2023,2022-08-07 11:30:00,1,Moreirense FC,Vilafranquense,1,0,1,['19'],[],1.6,3.8,5.25,1.93,1.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Portugal LigaPro,2022/2023,2022-08-07 14:00:00,1,Porto II,Sporting Covilhã,0,1,1,[],['4'],1.95,3.3,3.9,2.0,1.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Portugal LigaPro,2022/2023,2022-08-08 14:00:00,1,FC Penafiel,Leixões,0,0,0,[],[],2.24,3.09,3.39,2.32,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Portugal LigaPro,2022/2023,2022-08-12 14:00:00,2,CD Tondela,Benfica II,1,1,2,['25'],['16'],2.33,2.94,2.56,1.9,1.81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,Portugal LigaPro,2022/2023,2022-08-13 07:00:00,2,Sporting Covilhã,CD Feirense,0,2,2,[],"['35', '42']",2.58,3.05,2.6,2.05,1.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Portugal LigaPro,2022/2023,2022-08-13 11:30:00,2,Torreense,CD Nacional,0,2,2,[],"['23', '51']",2.57,3.1,2.58,2.03,1.84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Portugal LigaPro,2022/2023,2022-08-13 11:30:00,2,Estrela Amadora,Farense,1,1,2,['14'],['62'],2.8,3.25,2.3,1.98,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,Portugal LigaPro,2022/2023,2022-08-14 07:00:00,2,Academico Viseu,Moreirense FC,1,3,4,['57'],"['17', '49', '89']",2.95,3.2,2.25,2.0,1.72,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
