Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,2709937,Germany Bundesliga,2022/2023,2022-08-05 15:30:00,1,Eintracht Frankfurt,Bayern München,1,6,7,['64'],"['5', '10', '29', '35', '43', '83']",6.48,5.13,1.39,1.34,2.84,1.53,2.38
2,2709938,Germany Bundesliga,2022/2023,2022-08-06 10:30:00,1,Union Berlin,Hertha BSC,3,1,4,"['31', '50', '54']",['85'],1.84,3.88,4.0,1.67,2.08,1.91,1.91
3,2709939,Germany Bundesliga,2022/2023,2022-08-06 10:30:00,1,Borussia M'gladbach,Hoffenheim,3,1,4,"['42', '71', '78']",['25'],2.17,3.98,2.95,1.36,2.9,1.36,3.0
4,2709940,Germany Bundesliga,2022/2023,2022-08-06 10:30:00,1,Wolfsburg,Werder Bremen,2,2,4,"['11', '84']","['21', '23']",1.92,3.63,3.93,1.84,1.86,1.67,2.1
5,2709941,Germany Bundesliga,2022/2023,2022-08-06 10:30:00,1,Bochum,Mainz 05,1,2,3,['39'],"['26', '77']",2.94,3.33,2.44,2.05,1.69,1.75,2.0
6,2709942,Germany Bundesliga,2022/2023,2022-08-06 10:30:00,1,Augsburg,Freiburg,0,4,4,[],"['46', '48', '61', '78']",2.86,3.45,2.43,1.84,1.86,1.75,2.0
7,2709943,Germany Bundesliga,2022/2023,2022-08-06 13:30:00,1,Borussia Dortmund,Bayer Leverkusen,1,0,1,['10'],[],2.07,4.1,3.19,1.37,2.94,1.36,3.0
8,2709944,Germany Bundesliga,2022/2023,2022-08-07 10:30:00,1,Stuttgart,RB Leipzig,1,1,2,['31'],['8'],4.33,3.7,1.75,1.74,2.08,1.7,2.05
9,2709945,Germany Bundesliga,2022/2023,2022-08-07 12:30:00,1,Köln,Schalke 04,3,1,4,"['49', '62', '80']",['76'],1.73,4.2,4.33,1.55,2.45,1.53,2.38
10,2709946,Germany Bundesliga,2022/2023,2022-08-12 15:30:00,2,Freiburg,Borussia Dortmund,1,3,4,['35'],"['77', '84', '88']",4.57,3.58,1.66,1.45,2.55,1.5,2.5
11,2709951,Germany Bundesliga,2022/2023,2022-08-13 10:30:00,2,Werder Bremen,Stuttgart,2,2,4,"['4', '90+5']","['38', '77']",2.32,3.06,2.71,1.66,2.02,1.53,2.38
12,2709950,Germany Bundesliga,2022/2023,2022-08-13 10:30:00,2,Hertha BSC,Eintracht Frankfurt,1,1,2,['3'],['48'],2.68,3.06,2.33,1.65,2.02,1.62,2.2
